report_date,share_amt,total_redeem_amt,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_1_M
2014-07-20,2255742,174462836,1.1129,4.184,2.698,3.419,4.209
2014-07-21,2302358,434191479,1.1428,4.192,3.318,3.694,5.03
2014-07-22,2229960,369043423,1.1166,4.1819999999999995,3.253,3.848,5.115
2014-07-23,2279460,308353077,1.1266,4.176,3.295,4.202,5.271
2014-07-24,2262687,347622431,1.1215,4.181,3.313,4.101,5.278
2014-07-25,2261389,262874791,1.1244,4.1819999999999995,3.348,4.081,4.95
2014-07-26,2255798,282653341,1.1221,4.187,2.698,3.419,4.209
2014-07-27,2228987,166610652,1.122,4.192,2.698,3.419,4.209
2014-07-28,2227349,345986909,1.1276,4.184,3.304,4.013,4.398
2014-07-29,2188464,303480103,1.1156,4.183,3.2503,3.907,4.141
2014-07-30,2214756,250117716,1.1162,4.178,3.2502,3.914,4.144
2014-07-31,2210335,277194379,1.1156,4.1739999999999995,3.204,3.98,4.2
2014-08-01,2205777,252540858,1.1173,4.171,3.196,3.907,4.21
2014-08-02,2202781,172250225,1.1179999999999999,4.168,2.698,3.419,4.209
2014-08-03,2190532,127125217,1.1178,4.166,2.698,3.419,4.209
2014-08-04,2236412,322907524,1.1451,4.176,3.182,3.842,4.105
2014-08-05,2191155,221706539,1.1203,4.178,3.145,3.738,4.056
2014-08-06,2222718,282346594,1.1162,4.178,3.051,3.559,4.104
2014-08-07,2240816,253659514,1.1186,4.18,3.04,3.511,4.161
2014-08-08,2286782,311648757,1.1397,4.192,3.001,3.457,4.101
2014-08-09,2233877,163611708,1.1173,4.191,2.698,3.419,4.209
2014-08-10,2221662,189909225,1.1172,4.191,2.698,3.419,4.209
2014-08-11,2219101,418603336,1.1235,4.178999999999999,2.955,3.42,4.166
2014-08-12,2181794,309754858,1.1146,4.176,2.916,3.39,4.154
2014-08-13,2215516,303975517,1.1138,4.175,2.892,3.36,4.22
2014-08-14,2256530,211939431,1.1367,4.185,2.888,3.353,4.233
2014-08-15,2215568,236516007,1.1129,4.17,2.889,3.346,4.174
2014-08-16,2217689,219214339,1.1128,4.168,2.698,3.419,4.209
2014-08-17,2200868,139564084,1.1126,4.165,2.698,3.419,4.209
2014-08-18,2190466,259169016,1.1122,4.159,2.858,3.276,4.31
2014-08-19,2205515,254929877,1.122,4.163,2.835,3.237,4.363
2014-08-20,2245086,202452782,1.124,4.169,2.833,3.246,4.286
2014-08-21,2237805,219963356,1.1168,4.158,2.848,3.312,4.238
2014-08-22,2221892,179349206,1.104,4.1530000000000005,2.843,3.369,4.2039
2014-08-23,2219263,199377531,1.0997,4.146,2.698,3.419,4.209
2014-08-24,2203962,191080151,1.0993,4.138999999999999,2.698,3.419,4.209
2014-08-25,2213082,312413411,1.1122,4.138999999999999,2.841,3.363,4.199
2014-08-26,2197592,285478563,1.1085,4.131,2.823,3.318,4.2
2014-08-27,2221794,468164147,1.1079,4.123,2.861,3.349,4.178
2014-08-28,2195104,297893861,1.1043,4.1160000000000005,2.876,3.538,4.133
2014-08-29,2219541,273756380,1.1169,4.123,2.908,3.672,4.114
2014-08-30,2225109,196374134,1.1206,4.1339999999999995,2.698,3.419,4.209
2014-08-31,2211702,292943033,1.1204,4.146,2.698,3.419,4.209
